label,pid,downloaded?,full_image_url,catalog_id,catalog_url,manifest_url,mirador_url
Worcester,48859087,TRUE,https://ids.lib.harvard.edu/ids/iiif/48859087/full/full/0/default.jpg,01HVD_ALMA212170059870003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212170059870003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:48859087,https://iiif.lib.harvard.edu/manifests/view/ids:48859087
Pittsburgh -- Atlantic,48859088,TRUE,https://ids.lib.harvard.edu/ids/iiif/48859088/full/full/0/default.jpg,01HVD_ALMA212167347770003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212167347770003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:48859088,https://iiif.lib.harvard.edu/manifests/view/ids:48859088
Pittsburgh -- Atlantic,48859089,TRUE,https://ids.lib.harvard.edu/ids/iiif/48859089/full/full/0/default.jpg,01HVD_ALMA212167485930003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212167485930003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:48859089,https://iiif.lib.harvard.edu/manifests/view/ids:48859089
Mexico,48859090,TRUE,https://ids.lib.harvard.edu/ids/iiif/48859090/full/full/0/default.jpg,01HVD_ALMA212167484150003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212167484150003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:48859090,https://iiif.lib.harvard.edu/manifests/view/ids:48859090
England,48859091,TRUE,https://ids.lib.harvard.edu/ids/iiif/48859091/full/full/0/default.jpg,01HVD_ALMA212169099990003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212169099990003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:48859091,https://iiif.lib.harvard.edu/manifests/view/ids:48859091
From Lubeck to Milan,49099158,TRUE,https://ids.lib.harvard.edu/ids/iiif/49099158/full/full/0/default.jpg,01HVD_ALMA212169089440003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212169089440003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49099158,https://iiif.lib.harvard.edu/manifests/view/ids:49099158
Adriatic -- Baltic,49099159,TRUE,https://ids.lib.harvard.edu/ids/iiif/49099159/full/full/0/default.jpg,01HVD_ALMA212168190580003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212168190580003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49099159,https://iiif.lib.harvard.edu/manifests/view/ids:49099159
Tibet -- C. Asia,49099160,TRUE,https://ids.lib.harvard.edu/ids/iiif/49099160/full/full/0/default.jpg,01HVD_ALMA212168272150003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212168272150003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49099160,https://iiif.lib.harvard.edu/manifests/view/ids:49099160
From Black Sea thru Turkey to Cyprus,49099161,TRUE,https://ids.lib.harvard.edu/ids/iiif/49099161/full/full/0/default.jpg,01HVD_ALMA212168996890003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212168996890003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49099161,https://iiif.lib.harvard.edu/manifests/view/ids:49099161
Australia,49099162,TRUE,https://ids.lib.harvard.edu/ids/iiif/49099162/full/full/0/default.jpg,01HVD_ALMA212169907230003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212169907230003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49099162,https://iiif.lib.harvard.edu/manifests/view/ids:49099162
General landscape,49099163,TRUE,https://ids.lib.harvard.edu/ids/iiif/49099163/full/full/0/default.jpg,01HVD_ALMA212170060250003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212170060250003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49099163,https://iiif.lib.harvard.edu/manifests/view/ids:49099163
Sable I. -- Fredericton N.B.,49362522,TRUE,https://ids.lib.harvard.edu/ids/iiif/49362522/full/full/0/default.jpg,01HVD_ALMA212169140040003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212169140040003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49362522,https://iiif.lib.harvard.edu/manifests/view/ids:49362522
Mt. Tremblant -- Catsk,49362523,TRUE,https://ids.lib.harvard.edu/ids/iiif/49362523/full/full/0/default.jpg,01HVD_ALMA212167508820003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212167508820003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49362523,https://iiif.lib.harvard.edu/manifests/view/ids:49362523
Jamaica - Bahamas : unfinished,49362524,TRUE,https://ids.lib.harvard.edu/ids/iiif/49362524/full/full/0/default.jpg,01HVD_ALMA212169002910003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212169002910003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49362524,https://iiif.lib.harvard.edu/manifests/view/ids:49362524
Santiago -- Buenos Aires,49362525,TRUE,https://ids.lib.harvard.edu/ids/iiif/49362525/full/full/0/default.jpg,01HVD_ALMA212167361110003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212167361110003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49362525,https://iiif.lib.harvard.edu/manifests/view/ids:49362525
China N-S,49362526,TRUE,https://ids.lib.harvard.edu/ids/iiif/49362526/full/full/0/default.jpg,01HVD_ALMA212168986020003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212168986020003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49362526,https://iiif.lib.harvard.edu/manifests/view/ids:49362526
S. Africa,49362527,TRUE,https://ids.lib.harvard.edu/ids/iiif/49362527/full/full/0/default.jpg,01HVD_ALMA212168119570003941,"https://hollis.harvard.edu/primo-explore/search?query=any,contains,01HVD_ALMA212168119570003941&tab=everything&search_scope=everything&vid=HVD2&lang=en_US&offset=0",https://iiif.lib.harvard.edu/manifests/ids:49362527,https://iiif.lib.harvard.edu/manifests/view/ids:49362527